method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
awq_int4,A100_SXM,1,td_001,travel_dining,0.048371,3.623443,399,110.12,True,0.875
awq_int4,A100_SXM,1,td_002,travel_dining,0.054784,4.646498,512,110.19,True,0.875
awq_int4,A100_SXM,1,td_003,travel_dining,0.055617,3.404879,374,109.84,True,0.875
awq_int4,A100_SXM,1,td_004,travel_dining,0.051566,4.640362,512,110.34,False,0.7778
awq_int4,A100_SXM,1,td_005,travel_dining,0.060642,4.654682,512,110.0,False,0.7778
awq_int4,A100_SXM,1,td_006,travel_dining,0.05979,4.651554,512,110.07,True,0.8889
awq_int4,A100_SXM,1,td_007,travel_dining,0.047271,4.616847,510,110.46,True,0.9
awq_int4,A100_SXM,1,td_008,travel_dining,0.054958,4.641583,512,110.31,True,0.9
awq_int4,A100_SXM,1,td_009,travel_dining,0.054626,4.641298,512,110.31,True,0.9
awq_int4,A100_SXM,1,td_010,travel_dining,0.047574,4.630609,512,110.57,False,0.6364
awq_int4,A100_SXM,1,td_011,travel_dining,0.055087,4.48673,494,110.1,False,0.7273
awq_int4,A100_SXM,1,td_012,travel_dining,0.055447,3.938327,433,109.95,True,0.8182
awq_int4,A100_SXM,1,td_013,travel_dining,0.054769,4.640412,512,110.34,False,0.7273
awq_int4,A100_SXM,1,td_014,travel_dining,0.062799,4.86614,512,105.22,True,0.8182
awq_int4,A100_SXM,1,td_015,travel_dining,0.062922,4.657281,512,109.94,True,0.9091
awq_int4,A100_SXM,1,td_016,travel_dining,0.04866,4.633222,512,110.51,True,0.8
awq_int4,A100_SXM,1,td_017,travel_dining,0.055148,3.966408,436,109.92,True,0.8
awq_int4,A100_SXM,1,td_018,travel_dining,0.055501,3.948384,434,109.92,True,0.8
awq_int4,A100_SXM,1,cc_001,credit_card,0.063662,4.226932,463,109.54,True,0.8889
awq_int4,A100_SXM,1,cc_002,credit_card,0.066034,3.713851,406,109.32,False,0.5556
awq_int4,A100_SXM,1,cc_003,credit_card,0.064458,2.795199,304,108.76,False,0.6667
awq_int4,A100_SXM,1,cc_004,credit_card,0.063268,3.961322,434,109.56,False,0.7
