method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
awq_int4_marlin,A100_SXM,1,td_001,travel_dining,0.0233,2.359672,399,169.09,True,0.875
awq_int4_marlin,A100_SXM,1,td_002,travel_dining,0.024774,3.027726,512,169.1,True,0.875
awq_int4_marlin,A100_SXM,1,td_003,travel_dining,0.024897,2.222207,375,168.75,True,0.875
awq_int4_marlin,A100_SXM,1,td_004,travel_dining,0.023818,3.027106,512,169.14,False,0.7778
awq_int4_marlin,A100_SXM,1,td_005,travel_dining,0.026101,3.035371,512,168.68,False,0.6667
awq_int4_marlin,A100_SXM,1,td_006,travel_dining,0.027283,3.034068,512,168.75,True,0.8889
awq_int4_marlin,A100_SXM,1,td_007,travel_dining,0.023328,3.010102,510,169.43,True,0.9
awq_int4_marlin,A100_SXM,1,td_008,travel_dining,0.02523,2.697733,456,169.03,True,0.9
awq_int4_marlin,A100_SXM,1,td_009,travel_dining,0.024912,3.027629,512,169.11,True,0.9
awq_int4_marlin,A100_SXM,1,td_010,travel_dining,0.023004,3.021975,512,169.43,False,0.6364
awq_int4_marlin,A100_SXM,1,td_011,travel_dining,0.025041,2.921939,494,169.07,False,0.7273
awq_int4_marlin,A100_SXM,1,td_012,travel_dining,0.024982,2.562562,433,168.97,True,0.8182
awq_int4_marlin,A100_SXM,1,td_013,travel_dining,0.024855,3.027416,512,169.12,False,0.7273
awq_int4_marlin,A100_SXM,1,td_014,travel_dining,0.027532,3.036834,512,168.6,True,0.8182
awq_int4_marlin,A100_SXM,1,td_015,travel_dining,0.02762,3.04162,512,168.33,True,0.9091
awq_int4_marlin,A100_SXM,1,td_016,travel_dining,0.023248,3.250083,509,156.61,True,0.8
awq_int4_marlin,A100_SXM,1,td_017,travel_dining,0.024962,2.583572,436,168.76,True,0.8
awq_int4_marlin,A100_SXM,1,td_018,travel_dining,0.025217,2.569815,434,168.88,True,0.8
awq_int4_marlin,A100_SXM,1,cc_001,credit_card,0.027456,2.747328,463,168.53,True,0.8889
awq_int4_marlin,A100_SXM,1,cc_002,credit_card,0.032311,2.421877,406,167.64,False,0.5556
awq_int4_marlin,A100_SXM,1,cc_003,credit_card,0.031738,1.817554,304,167.26,False,0.6667
awq_int4_marlin,A100_SXM,1,cc_004,credit_card,0.027531,2.579597,434,168.24,False,0.7
awq_int4_marlin,A100_SXM,1,cc_005,credit_card,0.031318,2.039487,342,167.69,False,0.3
awq_int4_marlin,A100_SXM,1,cc_006,credit_card,0.030023,1.973629,331,167.71,False,0.4
awq_int4_marlin,A100_SXM,1,cc_007,credit_card,0.027013,3.037438,512,168.56,True,1.0
awq_int4_marlin,A100_SXM,1,cc_008,credit_card,0.030511,3.041006,512,168.37,False,0.6
