method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
baseline_fp16,L4,1,td_001,travel_dining,0.079273,24.181258,424,17.53,True,0.875
baseline_fp16,L4,1,td_002,travel_dining,0.085756,24.029398,421,17.52,True,0.875
baseline_fp16,L4,1,td_003,travel_dining,0.092564,20.5104,359,17.5,True,0.875
baseline_fp16,L4,1,td_004,travel_dining,0.077697,29.208662,512,17.53,False,0.7778
baseline_fp16,L4,1,td_005,travel_dining,0.088259,28.899343,506,17.51,True,0.8889
baseline_fp16,L4,1,td_006,travel_dining,0.089353,29.237542,512,17.51,True,0.8889
baseline_fp16,L4,1,td_007,travel_dining,0.081567,27.275066,478,17.53,True,0.8
baseline_fp16,L4,1,td_008,travel_dining,0.08737,24.492669,429,17.52,True,0.8
baseline_fp16,L4,1,td_009,travel_dining,0.086963,27.691932,485,17.51,True,0.9
baseline_fp16,L4,1,td_010,travel_dining,0.081233,29.222803,512,17.52,True,0.8182
baseline_fp16,L4,1,td_011,travel_dining,0.08896,27.575279,483,17.52,False,0.7273
baseline_fp16,L4,1,td_012,travel_dining,0.087107,25.185182,441,17.51,True,0.8182
baseline_fp16,L4,1,td_013,travel_dining,0.087947,29.22711,512,17.52,True,0.9091
baseline_fp16,L4,1,td_014,travel_dining,0.089704,29.243234,512,17.51,True,0.9091
baseline_fp16,L4,1,td_015,travel_dining,0.090567,29.246364,512,17.51,True,0.9091
baseline_fp16,L4,1,td_016,travel_dining,0.082051,29.226774,512,17.52,True,0.8
baseline_fp16,L4,1,td_017,travel_dining,0.087812,24.501528,429,17.51,False,0.7
baseline_fp16,L4,1,td_018,travel_dining,0.088791,29.233001,512,17.51,False,0.7
baseline_fp16,L4,1,cc_001,credit_card,0.09098,27.308574,478,17.5,True,0.8889
baseline_fp16,L4,1,cc_002,credit_card,0.120691,29.283543,512,17.48,False,0.6667
baseline_fp16,L4,1,cc_003,credit_card,0.118418,27.347956,478,17.48,True,0.8889
baseline_fp16,L4,1,cc_004,credit_card,0.092298,25.601324,448,17.5,False,0.5
baseline_fp16,L4,1,cc_005,credit_card,0.118179,24.834052,434,17.48,False,0.5
baseline_fp16,L4,1,cc_006,credit_card,0.118081,24.554246,429,17.47,False,0.7
baseline_fp16,L4,1,cc_007,credit_card,0.089344,26.053127,456,17.5,False,0.4
baseline_fp16,L4,1,cc_008,credit_card,0.120133,26.781561,468,17.47,False,0.6
baseline_fp16,L4,1,cc_009,credit_card,0.11811,29.287004,512,17.48,True,1.0
baseline_fp16,L4,1,cc_010,credit_card,0.08807,20.512182,359,17.5,False,0.6667
baseline_fp16,L4,1,cc_011,credit_card,0.093894,22.070768,386,17.49,False,0.6667
baseline_fp16,L4,1,cc_012,credit_card,0.092757,21.947128,384,17.5,True,0.8889
baseline_fp16,L4,1,cc_013,credit_card,0.089001,18.859697,330,17.5,False,0.7778
baseline_fp16,L4,1,cc_014,credit_card,0.117359,23.237687,406,17.47,False,0.7778
baseline_fp16,L4,1,cc_015,credit_card,0.118424,15.938243,278,17.44,False,0.7778
baseline_fp16,L4,1,cc_016,credit_card,0.088211,29.245741,512,17.51,False,0.4444
baseline_fp16,L4,1,cc_017,credit_card,0.117876,29.282754,512,17.48,False,0.6667
baseline_fp16,L4,1,cc_018,credit_card,0.117926,27.622774,483,17.49,False,0.4444
baseline_fp16,L4,1,mo_001,merchant_offers,0.472908,19.635939,332,16.91,True,1.0
baseline_fp16,L4,1,mo_002,merchant_offers,0.478801,17.262886,291,16.86,True,1.0
baseline_fp16,L4,1,mo_003,merchant_offers,0.481707,17.913386,302,16.86,False,0.5
baseline_fp16,L4,1,mo_004,merchant_offers,0.487459,18.659531,315,16.88,True,1.0
baseline_fp16,L4,1,mo_005,merchant_offers,0.471981,14.836376,249,16.78,True,1.0
baseline_fp16,L4,1,mo_006,merchant_offers,0.473003,15.52933,261,16.81,True,1.0
baseline_fp16,L4,1,mt_001,multi_turn,0.127244,13.455159,234,17.39,True,0.8
baseline_fp16,L4,1,mt_002,multi_turn,0.153273,22.268509,388,17.42,True,0.9
baseline_fp16,L4,1,mt_003,multi_turn,0.15414,8.924038,154,17.26,False,0.6364
baseline_fp16,L4,1,mt_004,multi_turn,0.152516,17.419883,303,17.39,False,0.4545
baseline_fp16,L4,1,mt_005,multi_turn,0.150317,15.54157,270,17.37,True,0.9091
baseline_fp16,L4,1,sj_001,structured_json,0.093603,16.415207,287,17.48,True,1.0
baseline_fp16,L4,1,sj_002,structured_json,0.116432,16.901874,295,17.45,True,1.0
baseline_fp16,L4,1,sj_003,structured_json,0.117804,17.096917,298,17.43,True,1.0
baseline_fp16,L4,1,sj_004,structured_json,0.11673,29.279553,512,17.49,False,0.0
baseline_fp16,L4,1,sj_005,structured_json,0.118174,29.288188,512,17.48,False,0.0
baseline_fp16,L4,1,sj_006,structured_json,0.117534,29.315886,512,17.46,False,0.0
baseline_fp16,L4,1,sj_007,structured_json,0.091169,29.275393,512,17.49,False,0.0
baseline_fp16,L4,1,sj_008,structured_json,0.117973,29.295017,512,17.48,False,0.0
baseline_fp16,L4,1,sj_009,structured_json,0.119981,29.305877,512,17.47,False,0.0
baseline_fp16,L4,1,sj_010,structured_json,0.091067,25.196362,441,17.5,True,1.0
baseline_fp16,L4,1,sj_011,structured_json,0.117873,25.347764,443,17.48,True,1.0
baseline_fp16,L4,1,sj_012,structured_json,0.117953,24.4354,427,17.47,True,1.0
baseline_fp16,L4,1,sj_013,structured_json,0.123074,20.23114,353,17.45,True,1.0
baseline_fp16,L4,1,sj_014,structured_json,0.126726,20.756494,362,17.44,False,0.0
baseline_fp16,L4,1,sj_015,structured_json,0.128206,24.295468,424,17.45,True,1.0
baseline_fp16,L4,1,sj_016,structured_json,0.119295,28.430459,497,17.48,True,1.0
baseline_fp16,L4,1,sj_017,structured_json,0.11965,29.328809,512,17.46,False,0.0
baseline_fp16,L4,1,sj_018,structured_json,0.120785,29.299731,512,17.47,False,0.0
baseline_fp16,L4,4,td_001,travel_dining,0.232195,30.402792,424,13.95,True,0.875
baseline_fp16,L4,4,td_002,travel_dining,0.231123,30.402792,387,12.73,True,0.875
baseline_fp16,L4,4,td_003,travel_dining,0.230802,30.402792,359,11.81,True,0.875
baseline_fp16,L4,4,td_004,travel_dining,0.230529,30.402792,512,16.84,False,0.7778
baseline_fp16,L4,4,td_005,travel_dining,0.239676,30.649365,506,16.51,True,0.8889
baseline_fp16,L4,4,td_006,travel_dining,0.238384,30.649365,512,16.71,True,0.8889
baseline_fp16,L4,4,td_007,travel_dining,0.238071,30.649365,459,14.98,True,0.8
baseline_fp16,L4,4,td_008,travel_dining,0.237716,30.649365,429,14.0,True,0.8
baseline_fp16,L4,4,td_009,travel_dining,0.226753,30.569208,456,14.92,True,0.9
baseline_fp16,L4,4,td_010,travel_dining,0.225626,30.569208,512,16.75,True,0.8182
baseline_fp16,L4,4,td_011,travel_dining,0.225299,30.569208,483,15.8,False,0.7273
baseline_fp16,L4,4,td_012,travel_dining,0.225037,30.569208,441,14.43,True,0.8182
baseline_fp16,L4,4,td_013,travel_dining,0.242401,30.719452,512,16.67,True,0.9091
baseline_fp16,L4,4,td_014,travel_dining,0.241265,30.719452,512,16.67,True,0.9091
baseline_fp16,L4,4,td_015,travel_dining,0.240917,30.719452,512,16.67,True,0.9091
baseline_fp16,L4,4,td_016,travel_dining,0.240626,30.719452,512,16.67,True,0.8
baseline_fp16,L4,4,td_017,travel_dining,0.278489,30.744869,429,13.95,False,0.7
baseline_fp16,L4,4,td_018,travel_dining,0.277319,30.744869,512,16.65,False,0.7
baseline_fp16,L4,4,cc_001,credit_card,0.277035,30.744869,478,15.55,True,0.8889
baseline_fp16,L4,4,cc_002,credit_card,0.276577,30.744869,512,16.65,False,0.5556
baseline_fp16,L4,4,cc_003,credit_card,0.314577,28.704742,478,16.65,True,0.8889
baseline_fp16,L4,4,cc_004,credit_card,0.313267,28.704742,448,15.61,False,0.5
baseline_fp16,L4,4,cc_005,credit_card,0.312879,28.704742,416,14.49,False,0.5
baseline_fp16,L4,4,cc_006,credit_card,0.312567,28.704742,434,15.12,False,0.7
baseline_fp16,L4,4,cc_007,credit_card,0.290458,30.634025,456,14.89,False,0.4
