method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
baseline_fp16,A100_SXM,1,td_001,travel_dining,0.021938,4.827499,424,87.83,True,0.875
baseline_fp16,A100_SXM,1,td_002,travel_dining,0.022158,4.800139,421,87.71,True,0.875
baseline_fp16,A100_SXM,1,td_003,travel_dining,0.022611,4.095862,359,87.65,True,0.875
baseline_fp16,A100_SXM,1,td_004,travel_dining,0.020422,5.825823,512,87.88,False,0.7778
baseline_fp16,A100_SXM,1,td_005,travel_dining,0.023812,5.765651,506,87.76,True,0.8889
baseline_fp16,A100_SXM,1,td_006,travel_dining,0.02337,5.832851,512,87.78,True,0.8889
baseline_fp16,A100_SXM,1,td_007,travel_dining,0.021684,5.651237,497,87.95,True,0.8
baseline_fp16,A100_SXM,1,td_008,travel_dining,0.022633,4.888799,429,87.75,True,0.8
baseline_fp16,A100_SXM,1,td_009,travel_dining,0.022844,5.832081,512,87.79,True,0.9
baseline_fp16,A100_SXM,1,td_010,travel_dining,0.021966,5.825699,512,87.89,True,0.8182
baseline_fp16,A100_SXM,1,td_011,travel_dining,0.02327,5.501093,483,87.8,False,0.7273
baseline_fp16,A100_SXM,1,td_012,travel_dining,0.02276,5.024437,441,87.77,True,0.8182
baseline_fp16,A100_SXM,1,td_013,travel_dining,0.022881,5.835183,512,87.74,True,0.9091
baseline_fp16,A100_SXM,1,td_014,travel_dining,0.023697,5.834943,512,87.75,True,0.9091
baseline_fp16,A100_SXM,1,td_015,travel_dining,0.024104,5.834413,512,87.76,True,0.9091
baseline_fp16,A100_SXM,1,td_016,travel_dining,0.022604,5.826586,512,87.87,True,0.8
baseline_fp16,A100_SXM,1,td_017,travel_dining,0.023836,4.892343,429,87.69,False,0.7
baseline_fp16,A100_SXM,1,td_018,travel_dining,0.022757,5.834362,512,87.76,False,0.7
baseline_fp16,A100_SXM,1,cc_001,credit_card,0.024151,5.452025,478,87.67,True,0.8889
baseline_fp16,A100_SXM,1,cc_002,credit_card,0.033683,5.847774,512,87.55,False,0.5556
baseline_fp16,A100_SXM,1,cc_003,credit_card,0.031191,5.456928,478,87.6,True,0.8889
baseline_fp16,A100_SXM,1,cc_004,credit_card,0.023715,5.104729,448,87.76,False,0.5
baseline_fp16,A100_SXM,1,cc_005,credit_card,0.031245,4.959725,434,87.5,False,0.5
baseline_fp16,A100_SXM,1,cc_006,credit_card,0.030833,4.898909,429,87.57,False,0.7
baseline_fp16,A100_SXM,1,cc_007,credit_card,0.023521,5.486033,481,87.68,False,0.4
baseline_fp16,A100_SXM,1,cc_008,credit_card,0.030955,5.343278,468,87.59,False,0.6
baseline_fp16,A100_SXM,1,cc_009,credit_card,0.031351,5.842306,512,87.64,True,1.0
baseline_fp16,A100_SXM,1,cc_010,credit_card,0.022887,4.095531,359,87.66,False,0.6667
baseline_fp16,A100_SXM,1,cc_011,credit_card,0.023785,4.407262,386,87.58,False,0.6667
baseline_fp16,A100_SXM,1,cc_012,credit_card,0.024016,4.381035,384,87.65,True,0.8889
baseline_fp16,A100_SXM,1,cc_013,credit_card,0.023556,3.775956,331,87.66,False,0.7778
baseline_fp16,A100_SXM,1,cc_014,credit_card,0.030901,4.641924,406,87.46,False,0.7778
baseline_fp16,A100_SXM,1,cc_015,credit_card,0.030464,3.183941,278,87.31,False,0.7778
baseline_fp16,A100_SXM,1,cc_016,credit_card,0.023255,5.830824,512,87.81,False,0.4444
baseline_fp16,A100_SXM,1,cc_017,credit_card,0.030559,5.843836,512,87.61,False,0.6667
baseline_fp16,A100_SXM,1,cc_018,credit_card,0.030538,5.557219,487,87.63,False,0.4444
baseline_fp16,A100_SXM,1,mo_001,merchant_offers,0.124188,3.921329,332,84.67,True,1.0
baseline_fp16,A100_SXM,1,mo_002,merchant_offers,0.115106,3.442805,291,84.52,True,1.0
baseline_fp16,A100_SXM,1,mo_003,merchant_offers,0.124084,3.509972,296,84.33,False,0.5
baseline_fp16,A100_SXM,1,mo_004,merchant_offers,0.115541,3.724641,315,84.57,True,1.0
baseline_fp16,A100_SXM,1,mo_005,merchant_offers,0.124586,2.971602,249,83.79,True,1.0
baseline_fp16,A100_SXM,1,mo_006,merchant_offers,0.1247,3.109094,261,83.95,True,1.0
baseline_fp16,A100_SXM,1,mt_001,multi_turn,0.030967,2.687554,234,87.07,True,0.8
baseline_fp16,A100_SXM,1,mt_002,multi_turn,0.036573,4.443528,388,87.32,True,0.9
baseline_fp16,A100_SXM,1,mt_003,multi_turn,0.036715,1.785128,154,86.27,False,0.6364
baseline_fp16,A100_SXM,1,mt_004,multi_turn,0.037034,3.75044,327,87.19,False,0.3636
baseline_fp16,A100_SXM,1,mt_005,multi_turn,0.036405,3.107653,270,86.88,True,0.9091
baseline_fp16,A100_SXM,1,sj_001,structured_json,0.023823,3.279104,287,87.52,True,1.0
baseline_fp16,A100_SXM,1,sj_002,structured_json,0.030513,3.37714,295,87.35,True,1.0
baseline_fp16,A100_SXM,1,sj_003,structured_json,0.030326,3.410487,298,87.38,True,1.0
baseline_fp16,A100_SXM,1,sj_004,structured_json,0.030788,5.835842,512,87.73,False,0.0
baseline_fp16,A100_SXM,1,sj_005,structured_json,0.030836,5.838834,512,87.69,False,0.0
baseline_fp16,A100_SXM,1,sj_006,structured_json,0.030843,5.834768,512,87.75,False,0.0
baseline_fp16,A100_SXM,1,sj_007,structured_json,0.023685,5.827717,512,87.86,False,0.0
baseline_fp16,A100_SXM,1,sj_008,structured_json,0.030825,5.840856,512,87.66,False,0.0
baseline_fp16,A100_SXM,1,sj_009,structured_json,0.03137,5.840775,512,87.66,False,0.0
baseline_fp16,A100_SXM,1,sj_010,structured_json,0.02438,5.025021,441,87.76,True,1.0
baseline_fp16,A100_SXM,1,sj_011,structured_json,0.030763,5.089625,446,87.63,True,1.0
baseline_fp16,A100_SXM,1,sj_012,structured_json,0.031024,5.034319,441,87.6,True,1.0
baseline_fp16,A100_SXM,1,sj_013,structured_json,0.031158,4.033038,353,87.53,True,1.0
baseline_fp16,A100_SXM,1,sj_014,structured_json,0.030453,4.137629,362,87.49,False,0.0
baseline_fp16,A100_SXM,1,sj_015,structured_json,0.030613,5.072105,424,83.59,True,1.0
baseline_fp16,A100_SXM,1,sj_016,structured_json,0.0308,5.672187,497,87.62,True,1.0
baseline_fp16,A100_SXM,1,sj_017,structured_json,0.030816,5.845788,512,87.58,False,0.0
baseline_fp16,A100_SXM,1,sj_018,structured_json,0.031761,5.839013,512,87.69,False,0.0
baseline_fp16,A100_SXM,4,td_001,travel_dining,0.062092,5.86418,424,72.3,True,0.875
baseline_fp16,A100_SXM,4,td_002,travel_dining,0.061597,5.86418,421,71.79,True,0.875
baseline_fp16,A100_SXM,4,td_003,travel_dining,0.061307,5.86418,359,61.22,True,0.875
baseline_fp16,A100_SXM,4,td_004,travel_dining,0.061047,5.86418,512,87.31,False,0.7778
baseline_fp16,A100_SXM,4,td_005,travel_dining,0.062779,5.867667,506,86.24,True,0.8889
baseline_fp16,A100_SXM,4,td_006,travel_dining,0.062278,5.867667,512,87.26,True,0.8889
baseline_fp16,A100_SXM,4,td_007,travel_dining,0.061996,5.867667,459,78.23,True,0.8
baseline_fp16,A100_SXM,4,td_008,travel_dining,0.061739,5.867667,429,73.11,True,0.8
baseline_fp16,A100_SXM,4,td_009,travel_dining,0.055571,5.859953,512,87.37,True,0.9
baseline_fp16,A100_SXM,4,td_010,travel_dining,0.055133,5.859953,512,87.37,True,0.8182
baseline_fp16,A100_SXM,4,td_011,travel_dining,0.054878,5.859953,483,82.42,False,0.7273
baseline_fp16,A100_SXM,4,td_012,travel_dining,0.054611,5.859953,441,75.26,True,0.8182
baseline_fp16,A100_SXM,4,td_013,travel_dining,0.06383,5.87824,512,87.1,True,0.9091
baseline_fp16,A100_SXM,4,td_014,travel_dining,0.063367,5.87824,512,87.1,True,0.9091
baseline_fp16,A100_SXM,4,td_015,travel_dining,0.06306,5.87824,512,87.1,True,0.9091
baseline_fp16,A100_SXM,4,td_016,travel_dining,0.062784,5.87824,512,87.1,True,0.8
baseline_fp16,A100_SXM,4,td_017,travel_dining,0.084033,5.894384,429,72.78,False,0.7
baseline_fp16,A100_SXM,4,td_018,travel_dining,0.083528,5.894384,512,86.86,False,0.7
baseline_fp16,A100_SXM,4,cc_001,credit_card,0.083257,5.894384,478,81.09,True,0.8889
baseline_fp16,A100_SXM,4,cc_002,credit_card,0.082929,5.894384,512,86.86,False,0.6667
baseline_fp16,A100_SXM,4,cc_003,credit_card,0.07877,5.507413,478,86.79,True,0.8889
baseline_fp16,A100_SXM,4,cc_004,credit_card,0.077999,5.507413,448,81.34,False,0.5
baseline_fp16,A100_SXM,4,cc_005,credit_card,0.077671,5.507413,434,78.8,False,0.5
baseline_fp16,A100_SXM,4,cc_006,credit_card,0.077374,5.507413,429,77.9,False,0.7
baseline_fp16,A100_SXM,4,cc_007,credit_card,0.069767,5.882772,481,81.76,False,0.4
baseline_fp16,A100_SXM,4,cc_008,credit_card,0.069252,5.882772,463,78.7,True,0.8
baseline_fp16,A100_SXM,4,cc_009,credit_card,0.068943,5.882772,512,87.03,True,1.0
baseline_fp16,A100_SXM,4,cc_010,credit_card,0.068636,5.882772,359,61.03,False,0.6667
baseline_fp16,A100_SXM,4,cc_011,credit_card,0.070333,4.676461,386,82.54,False,0.6667
baseline_fp16,A100_SXM,4,cc_012,credit_card,0.069484,4.676461,384,82.11,True,0.8889
baseline_fp16,A100_SXM,4,cc_013,credit_card,0.069191,4.676461,323,69.07,False,0.7778
baseline_fp16,A100_SXM,4,cc_014,credit_card,0.068877,4.676461,406,86.82,False,0.7778
baseline_fp16,A100_SXM,4,cc_015,credit_card,0.073034,5.874945,278,47.32,False,0.7778
baseline_fp16,A100_SXM,4,cc_016,credit_card,0.072399,5.874945,512,87.15,False,0.4444
baseline_fp16,A100_SXM,4,cc_017,credit_card,0.072062,5.874945,512,87.15,False,0.6667
baseline_fp16,A100_SXM,4,cc_018,credit_card,0.071761,5.874945,512,87.15,False,0.4444
baseline_fp16,A100_SXM,4,mo_001,merchant_offers,0.442613,4.356978,332,76.2,True,1.0
baseline_fp16,A100_SXM,4,mo_002,merchant_offers,0.441111,4.356978,291,66.79,True,1.0
baseline_fp16,A100_SXM,4,mo_003,merchant_offers,0.440042,4.356978,296,67.94,False,0.5
baseline_fp16,A100_SXM,4,mo_004,merchant_offers,0.438963,4.356978,315,72.3,True,1.0
baseline_fp16,A100_SXM,4,mo_005,merchant_offers,0.279298,4.744225,249,52.48,True,1.0
baseline_fp16,A100_SXM,4,mo_006,merchant_offers,0.277956,4.744225,261,55.01,True,1.0
baseline_fp16,A100_SXM,4,mt_001,multi_turn,0.276896,4.744225,234,49.32,True,0.8
baseline_fp16,A100_SXM,4,mt_002,multi_turn,0.276457,4.744225,388,81.78,True,0.9
baseline_fp16,A100_SXM,4,mt_003,multi_turn,0.100754,3.531139,154,43.61,False,0.6364
baseline_fp16,A100_SXM,4,mt_004,multi_turn,0.100053,3.531139,303,85.81,False,0.4545
baseline_fp16,A100_SXM,4,mt_005,multi_turn,0.099597,3.531139,270,76.46,True,0.9091
baseline_fp16,A100_SXM,4,sj_001,structured_json,0.099138,3.531139,287,81.28,True,1.0
baseline_fp16,A100_SXM,4,sj_002,structured_json,0.07741,5.86261,295,50.32,True,1.0
baseline_fp16,A100_SXM,4,sj_003,structured_json,0.076941,5.86261,298,50.83,True,1.0
baseline_fp16,A100_SXM,4,sj_004,structured_json,0.076642,5.86261,512,87.33,False,0.0
baseline_fp16,A100_SXM,4,sj_005,structured_json,0.076329,5.86261,512,87.33,False,0.0
baseline_fp16,A100_SXM,4,sj_006,structured_json,0.079518,5.910185,512,86.63,False,0.0
baseline_fp16,A100_SXM,4,sj_007,structured_json,0.079012,5.910185,512,86.63,False,0.0
baseline_fp16,A100_SXM,4,sj_008,structured_json,0.078724,5.910185,512,86.63,False,0.0
baseline_fp16,A100_SXM,4,sj_009,structured_json,0.078414,5.910185,512,86.63,False,0.0
baseline_fp16,A100_SXM,4,sj_010,structured_json,0.080168,5.111175,441,86.28,True,1.0
baseline_fp16,A100_SXM,4,sj_011,structured_json,0.079548,5.111175,443,86.67,True,1.0
baseline_fp16,A100_SXM,4,sj_012,structured_json,0.079228,5.111175,441,86.28,True,1.0
baseline_fp16,A100_SXM,4,sj_013,structured_json,0.078928,5.111175,353,69.06,True,1.0
baseline_fp16,A100_SXM,4,sj_014,structured_json,0.086048,5.903416,362,61.32,False,0.0
baseline_fp16,A100_SXM,4,sj_015,structured_json,0.085531,5.903416,424,71.82,True,1.0
baseline_fp16,A100_SXM,4,sj_016,structured_json,0.085187,5.903416,497,84.19,True,1.0
baseline_fp16,A100_SXM,4,sj_017,structured_json,0.084859,5.903416,512,86.73,False,0.0
baseline_fp16,A100_SXM,4,sj_018,structured_json,0.03126,5.839994,512,87.67,False,0.0
baseline_fp16,A100_SXM,8,td_001,travel_dining,0.111878,6.071892,424,69.83,True,0.875
baseline_fp16,A100_SXM,8,td_002,travel_dining,0.111316,6.071892,421,69.34,True,0.875
baseline_fp16,A100_SXM,8,td_003,travel_dining,0.111012,6.071892,392,64.56,True,0.875
baseline_fp16,A100_SXM,8,td_004,travel_dining,0.110742,6.071892,512,84.32,False,0.7778
baseline_fp16,A100_SXM,8,td_005,travel_dining,0.110467,6.071892,506,83.33,True,0.8889
baseline_fp16,A100_SXM,8,td_006,travel_dining,0.110206,6.071892,512,84.32,True,0.8889
baseline_fp16,A100_SXM,8,td_007,travel_dining,0.109955,6.071892,458,75.43,True,0.8
baseline_fp16,A100_SXM,8,td_008,travel_dining,0.109689,6.071892,429,70.65,True,0.8
baseline_fp16,A100_SXM,8,td_009,travel_dining,0.110358,6.111736,512,83.77,True,0.9
baseline_fp16,A100_SXM,8,td_010,travel_dining,0.109839,6.111736,512,83.77,True,0.8182
baseline_fp16,A100_SXM,8,td_011,travel_dining,0.109552,6.111736,483,79.03,False,0.7273
baseline_fp16,A100_SXM,8,td_012,travel_dining,0.109279,6.111736,441,72.16,True,0.8182
baseline_fp16,A100_SXM,8,td_013,travel_dining,0.109007,6.111736,512,83.77,True,0.9091
baseline_fp16,A100_SXM,8,td_014,travel_dining,0.108717,6.111736,512,83.77,True,0.9091
baseline_fp16,A100_SXM,8,td_015,travel_dining,0.108425,6.111736,512,83.77,True,0.9091
baseline_fp16,A100_SXM,8,td_016,travel_dining,0.108133,6.111736,512,83.77,True,0.8
baseline_fp16,A100_SXM,8,td_017,travel_dining,0.137432,6.124693,429,70.04,False,0.7
baseline_fp16,A100_SXM,8,td_018,travel_dining,0.136894,6.124693,512,83.6,True,0.8
baseline_fp16,A100_SXM,8,cc_001,credit_card,0.136635,6.124693,478,78.04,True,0.8889
baseline_fp16,A100_SXM,8,cc_002,credit_card,0.136306,6.124693,512,83.6,False,0.5556
baseline_fp16,A100_SXM,8,cc_003,credit_card,0.136,6.124693,478,78.04,True,0.8889
baseline_fp16,A100_SXM,8,cc_004,credit_card,0.13571,6.124693,448,73.15,False,0.5
baseline_fp16,A100_SXM,8,cc_005,credit_card,0.13541,6.124693,434,70.86,False,0.5
baseline_fp16,A100_SXM,8,cc_006,credit_card,0.135102,6.124693,429,70.04,False,0.7
baseline_fp16,A100_SXM,8,cc_007,credit_card,0.136459,6.092655,481,78.95,False,0.4
baseline_fp16,A100_SXM,8,cc_008,credit_card,0.135876,6.092655,468,76.81,False,0.6
baseline_fp16,A100_SXM,8,cc_009,credit_card,0.135566,6.092655,512,84.04,True,1.0
baseline_fp16,A100_SXM,8,cc_010,credit_card,0.135265,6.092655,359,58.92,False,0.6667
baseline_fp16,A100_SXM,8,cc_011,credit_card,0.134997,6.092655,386,63.35,False,0.6667
baseline_fp16,A100_SXM,8,cc_012,credit_card,0.134706,6.092655,384,63.03,True,0.8889
baseline_fp16,A100_SXM,8,cc_013,credit_card,0.134429,6.092655,323,53.01,False,0.7778
baseline_fp16,A100_SXM,8,cc_014,credit_card,0.134136,6.092655,406,66.64,False,0.7778
baseline_fp16,A100_SXM,8,cc_015,credit_card,0.518714,6.585399,301,45.71,False,0.7778
baseline_fp16,A100_SXM,8,cc_016,credit_card,0.518079,6.585399,512,77.75,False,0.4444
baseline_fp16,A100_SXM,8,cc_017,credit_card,0.517746,6.585399,512,77.75,False,0.6667
baseline_fp16,A100_SXM,8,cc_018,credit_card,0.517435,6.585399,512,77.75,False,0.4444
baseline_fp16,A100_SXM,8,mo_001,merchant_offers,0.517117,6.585399,332,50.41,True,1.0
baseline_fp16,A100_SXM,8,mo_002,merchant_offers,0.515863,6.585399,291,44.19,True,1.0
baseline_fp16,A100_SXM,8,mo_003,merchant_offers,0.514799,6.585399,296,44.95,False,0.5
baseline_fp16,A100_SXM,8,mo_004,merchant_offers,0.513728,6.585399,315,47.83,True,1.0
baseline_fp16,A100_SXM,8,mo_005,merchant_offers,0.370482,4.958757,249,50.21,True,1.0
baseline_fp16,A100_SXM,8,mo_006,merchant_offers,0.369103,4.958757,261,52.63,True,1.0
baseline_fp16,A100_SXM,8,mt_001,multi_turn,0.368014,4.958757,234,47.19,True,0.8
baseline_fp16,A100_SXM,8,mt_002,multi_turn,0.367567,4.958757,388,78.25,True,0.9
baseline_fp16,A100_SXM,8,mt_003,multi_turn,0.3671,4.958757,154,31.06,False,0.6364
baseline_fp16,A100_SXM,8,mt_004,multi_turn,0.36661,4.958757,327,65.94,False,0.3636
baseline_fp16,A100_SXM,8,mt_005,multi_turn,0.366163,4.958757,270,54.45,True,0.9091
baseline_fp16,A100_SXM,8,sj_001,structured_json,0.365747,4.958757,287,57.88,True,1.0
baseline_fp16,A100_SXM,8,sj_002,structured_json,0.151216,6.153733,295,47.94,True,1.0
baseline_fp16,A100_SXM,8,sj_003,structured_json,0.150679,6.153733,298,48.43,True,1.0
baseline_fp16,A100_SXM,8,sj_004,structured_json,0.150399,6.153733,512,83.2,False,0.0
baseline_fp16,A100_SXM,8,sj_005,structured_json,0.150099,6.153733,512,83.2,False,0.0
baseline_fp16,A100_SXM,8,sj_006,structured_json,0.149801,6.153733,512,83.2,False,0.0
baseline_fp16,A100_SXM,8,sj_007,structured_json,0.149509,6.153733,512,83.2,False,0.0
baseline_fp16,A100_SXM,8,sj_008,structured_json,0.149234,6.153733,512,83.2,False,0.0
baseline_fp16,A100_SXM,8,sj_009,structured_json,0.148939,6.153733,512,83.2,False,0.0
baseline_fp16,A100_SXM,8,sj_010,structured_json,0.162125,6.142917,441,71.79,True,1.0
baseline_fp16,A100_SXM,8,sj_011,structured_json,0.161486,6.142917,443,72.12,True,1.0
