method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
bitsandbytes_nf4,A100_SXM,1,td_001,travel_dining,0.068308,4.622693,371,80.26,True,0.875
bitsandbytes_nf4,A100_SXM,1,td_002,travel_dining,0.064889,4.693743,382,81.38,False,0.625
bitsandbytes_nf4,A100_SXM,1,td_003,travel_dining,0.064943,5.304058,432,81.45,True,0.875
bitsandbytes_nf4,A100_SXM,1,td_004,travel_dining,0.065232,6.271814,512,81.64,True,0.8889
bitsandbytes_nf4,A100_SXM,1,td_005,travel_dining,0.065516,6.273382,512,81.61,False,0.7778
bitsandbytes_nf4,A100_SXM,1,td_006,travel_dining,0.067815,6.276458,512,81.57,False,0.7778
bitsandbytes_nf4,A100_SXM,1,td_007,travel_dining,0.063781,6.306414,512,81.19,True,0.8
bitsandbytes_nf4,A100_SXM,1,td_008,travel_dining,0.078898,5.02694,407,80.96,False,0.7
bitsandbytes_nf4,A100_SXM,1,td_009,travel_dining,0.065089,6.275816,512,81.58,True,0.8
bitsandbytes_nf4,A100_SXM,1,td_010,travel_dining,0.063356,6.288532,512,81.42,True,0.9091
bitsandbytes_nf4,A100_SXM,1,td_011,travel_dining,0.06701,6.271111,512,81.64,True,0.8182
bitsandbytes_nf4,A100_SXM,1,td_012,travel_dining,0.065273,6.294408,512,81.34,True,0.9091
bitsandbytes_nf4,A100_SXM,1,td_013,travel_dining,0.065251,6.292139,512,81.37,True,0.9091
bitsandbytes_nf4,A100_SXM,1,td_014,travel_dining,0.067413,6.339186,512,80.77,True,0.9091
bitsandbytes_nf4,A100_SXM,1,td_015,travel_dining,0.066644,6.341679,512,80.74,True,0.8182
bitsandbytes_nf4,A100_SXM,1,td_016,travel_dining,0.064093,6.26813,512,81.68,True,0.8
bitsandbytes_nf4,A100_SXM,1,td_017,travel_dining,0.065303,5.545912,452,81.5,True,0.9
bitsandbytes_nf4,A100_SXM,1,td_018,travel_dining,0.065415,6.614897,512,77.4,True,1.0
bitsandbytes_nf4,A100_SXM,1,cc_001,credit_card,0.067827,5.406765,440,81.38,False,0.6667
bitsandbytes_nf4,A100_SXM,1,cc_002,credit_card,0.070145,3.963024,321,81.0,False,0.6667
