method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
bitsandbytes_nf4,RTX_A5000,1,td_001,travel_dining,0.105419,5.595587,368,65.77,True,0.875
bitsandbytes_nf4,RTX_A5000,1,td_002,travel_dining,0.10843,5.532952,363,65.61,False,0.625
bitsandbytes_nf4,RTX_A5000,1,td_003,travel_dining,0.109249,5.1927,340,65.48,False,0.75
bitsandbytes_nf4,RTX_A5000,1,td_004,travel_dining,0.105754,7.921766,512,64.63,True,0.8889
bitsandbytes_nf4,RTX_A5000,1,td_005,travel_dining,0.120078,7.801989,512,65.62,False,0.7778
bitsandbytes_nf4,RTX_A5000,1,td_006,travel_dining,0.111619,7.794889,512,65.68,False,0.7778
bitsandbytes_nf4,RTX_A5000,1,td_007,travel_dining,0.1037,7.794944,512,65.68,True,0.8
bitsandbytes_nf4,RTX_A5000,1,td_008,travel_dining,0.107307,6.224319,407,65.39,False,0.7
bitsandbytes_nf4,RTX_A5000,1,td_009,travel_dining,0.109483,7.958809,512,64.33,True,0.8
bitsandbytes_nf4,RTX_A5000,1,td_010,travel_dining,0.103625,7.799071,512,65.65,True,0.9091
bitsandbytes_nf4,RTX_A5000,1,td_011,travel_dining,0.108431,7.803305,512,65.61,True,0.8182
bitsandbytes_nf4,RTX_A5000,1,td_012,travel_dining,0.110563,7.809747,512,65.56,True,0.8182
bitsandbytes_nf4,RTX_A5000,1,td_013,travel_dining,0.107542,7.80653,512,65.59,True,0.9091
bitsandbytes_nf4,RTX_A5000,1,td_014,travel_dining,0.111485,7.979885,512,64.16,False,0.7273
bitsandbytes_nf4,RTX_A5000,1,td_015,travel_dining,0.110985,7.809472,512,65.56,True,0.8182
bitsandbytes_nf4,RTX_A5000,1,td_016,travel_dining,0.103262,7.799174,512,65.65,True,0.8
bitsandbytes_nf4,RTX_A5000,1,td_017,travel_dining,0.110729,6.45184,422,65.41,True,0.9
bitsandbytes_nf4,RTX_A5000,1,td_018,travel_dining,0.109964,7.808339,512,65.57,True,0.8
bitsandbytes_nf4,RTX_A5000,1,cc_001,credit_card,0.112096,6.884829,440,63.91,False,0.6667
bitsandbytes_nf4,RTX_A5000,1,cc_002,credit_card,0.136446,5.384727,349,64.81,False,0.6667
bitsandbytes_nf4,RTX_A5000,1,cc_003,credit_card,0.134608,5.281769,342,64.75,False,0.3333
bitsandbytes_nf4,RTX_A5000,1,cc_004,credit_card,0.111767,6.223834,405,65.07,False,0.4
bitsandbytes_nf4,RTX_A5000,1,cc_005,credit_card,0.133984,7.36227,480,65.2,False,0.4
bitsandbytes_nf4,RTX_A5000,1,cc_006,credit_card,0.133474,6.333133,411,64.9,False,0.7
bitsandbytes_nf4,RTX_A5000,1,cc_007,credit_card,0.114863,6.633796,424,63.92,True,1.0
bitsandbytes_nf4,RTX_A5000,1,cc_008,credit_card,0.135264,7.841336,512,65.29,True,0.8
bitsandbytes_nf4,RTX_A5000,1,cc_009,credit_card,0.134253,7.675796,501,65.27,False,0.4
bitsandbytes_nf4,RTX_A5000,1,cc_010,credit_card,0.109272,5.856972,382,65.22,False,0.6667
bitsandbytes_nf4,RTX_A5000,1,cc_011,credit_card,0.114057,5.499139,358,65.1,False,0.6667
bitsandbytes_nf4,RTX_A5000,1,cc_012,credit_card,0.111633,6.299108,403,63.98,False,0.6667
