method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
awq_int4,L4,1,td_001,travel_dining,0.132483,7.769692,399,51.35,True,0.875
awq_int4,L4,1,td_002,travel_dining,0.156135,9.98476,512,51.28,True,0.875
awq_int4,L4,1,td_003,travel_dining,0.153878,7.325221,374,51.06,True,0.875
awq_int4,L4,1,td_004,travel_dining,0.145189,9.97885,512,51.31,False,0.7778
awq_int4,L4,1,td_005,travel_dining,0.171077,10.019331,512,51.1,True,0.8889
awq_int4,L4,1,td_006,travel_dining,0.172735,10.022998,512,51.08,True,0.8889
awq_int4,L4,1,td_007,travel_dining,0.13105,9.933315,510,51.34,True,0.9
awq_int4,L4,1,td_008,travel_dining,0.157691,10.016681,512,51.11,True,0.9
awq_int4,L4,1,td_009,travel_dining,0.159171,10.017782,512,51.11,True,0.9
awq_int4,L4,1,td_010,travel_dining,0.132816,9.989297,512,51.25,False,0.6364
awq_int4,L4,1,td_011,travel_dining,0.160445,9.675762,494,51.06,False,0.7273
awq_int4,L4,1,td_012,travel_dining,0.16118,8.49907,433,50.95,True,0.8182
awq_int4,L4,1,td_013,travel_dining,0.15836,10.025082,512,51.07,False,0.7273
awq_int4,L4,1,td_014,travel_dining,0.181238,10.054137,512,50.92,True,0.8182
awq_int4,L4,1,td_015,travel_dining,0.183655,10.060392,512,50.89,True,0.9091
awq_int4,L4,1,td_016,travel_dining,0.131361,9.999605,512,51.2,True,0.8
awq_int4,L4,1,td_017,travel_dining,0.160404,8.557861,436,50.95,True,0.8
awq_int4,L4,1,td_018,travel_dining,0.161535,8.515979,434,50.96,True,0.8
awq_int4,L4,1,cc_001,credit_card,0.187736,9.11663,463,50.79,True,0.8889
awq_int4,L4,1,cc_002,credit_card,0.210091,8.052546,406,50.42,False,0.5556
awq_int4,L4,1,cc_003,credit_card,0.203826,10.091277,512,50.74,False,0.5556
awq_int4,L4,1,cc_004,credit_card,0.186819,8.552963,434,50.74,False,0.7
awq_int4,L4,1,cc_005,credit_card,0.1985,6.613659,333,50.35,False,0.3
awq_int4,L4,1,cc_006,credit_card,0.196745,6.568959,331,50.39,False,0.4
awq_int4,L4,1,cc_007,credit_card,0.18655,10.060602,512,50.89,True,1.0
awq_int4,L4,1,cc_008,credit_card,0.200747,8.938711,453,50.68,False,0.4
awq_int4,L4,1,cc_009,credit_card,0.200835,10.083302,512,50.78,True,0.8
awq_int4,L4,1,cc_010,credit_card,0.172369,9.071918,462,50.93,False,0.6667
awq_int4,L4,1,cc_011,credit_card,0.197804,8.952587,454,50.71,False,0.6667
awq_int4,L4,1,cc_012,credit_card,0.197584,6.378177,321,50.33,False,0.6667
awq_int4,L4,1,cc_013,credit_card,0.173684,6.388596,323,50.56,False,0.7778
awq_int4,L4,1,cc_014,credit_card,0.196419,8.406251,426,50.68,False,0.7778
awq_int4,L4,1,cc_015,credit_card,0.195732,7.359436,372,50.55,False,0.7778
awq_int4,L4,1,cc_016,credit_card,0.182834,10.05984,512,50.9,False,0.4444
awq_int4,L4,1,cc_017,credit_card,0.196398,7.791675,394,50.57,False,0.6667
awq_int4,L4,1,cc_018,credit_card,0.198537,10.082267,512,50.78,False,0.7778
awq_int4,L4,1,mo_001,merchant_offers,0.58205,5.559417,249,44.79,True,1.0
awq_int4,L4,1,mo_002,merchant_offers,0.571869,7.449471,343,46.04,True,1.0
awq_int4,L4,1,mo_003,merchant_offers,0.585998,6.934001,317,45.72,False,0.75
awq_int4,L4,1,mo_004,merchant_offers,0.560184,6.855862,314,45.8,True,1.0
awq_int4,L4,1,mo_005,merchant_offers,0.58179,5.548129,248,44.7,True,1.0
awq_int4,L4,1,mo_006,merchant_offers,0.563619,5.480924,246,44.88,True,1.0
awq_int4,L4,1,mt_001,multi_turn,0.202986,2.323585,110,47.34,False,0.7
awq_int4,L4,1,mt_002,multi_turn,0.235463,8.374788,421,50.27,True,0.8
awq_int4,L4,1,mt_003,multi_turn,0.232025,3.628119,176,48.51,False,0.6364
awq_int4,L4,1,mt_004,multi_turn,0.23282,7.040265,352,50.0,False,0.4545
awq_int4,L4,1,mt_005,multi_turn,0.233642,5.678745,282,49.66,True,0.8182
awq_int4,L4,1,sj_001,structured_json,0.195546,5.082812,254,49.97,True,1.0
awq_int4,L4,1,sj_002,structured_json,0.195928,4.907386,245,49.92,True,1.0
awq_int4,L4,1,sj_003,structured_json,0.199299,4.952879,247,49.87,True,1.0
awq_int4,L4,1,sj_004,structured_json,0.195827,10.075154,512,50.82,False,0.0
awq_int4,L4,1,sj_005,structured_json,0.199811,10.096485,512,50.71,False,0.0
awq_int4,L4,1,sj_006,structured_json,0.206071,10.09012,512,50.74,False,0.0
awq_int4,L4,1,sj_007,structured_json,0.199603,10.086291,512,50.76,False,0.0
awq_int4,L4,1,sj_008,structured_json,0.205695,9.957303,505,50.72,True,1.0
awq_int4,L4,1,sj_009,structured_json,0.204842,10.388572,512,49.28,False,0.0
awq_int4,L4,1,sj_010,structured_json,0.1987,8.447168,428,50.67,True,1.0
awq_int4,L4,1,sj_011,structured_json,0.196546,9.091836,461,50.7,True,1.0
awq_int4,L4,1,sj_012,structured_json,0.198693,8.974058,455,50.7,True,1.0
awq_int4,L4,1,sj_013,structured_json,0.201971,10.099267,512,50.7,False,0.0
awq_int4,L4,1,sj_014,structured_json,0.203139,8.208311,414,50.44,True,1.0
awq_int4,L4,1,sj_015,structured_json,0.204569,6.862642,345,50.27,True,1.0
awq_int4,L4,1,sj_016,structured_json,0.202199,9.056217,459,50.68,True,1.0
awq_int4,L4,1,sj_017,structured_json,0.202111,9.798531,497,50.72,True,1.0
awq_int4,L4,1,sj_018,structured_json,0.200237,9.447057,479,50.7,True,1.0
awq_int4,L4,4,td_001,travel_dining,0.320081,10.727653,396,36.91,True,0.875
awq_int4,L4,4,td_002,travel_dining,0.319283,10.727653,512,47.73,True,0.875
awq_int4,L4,4,td_003,travel_dining,0.318966,10.727653,374,34.86,True,0.875
awq_int4,L4,4,td_004,travel_dining,0.318666,10.727653,512,47.73,False,0.7778
awq_int4,L4,4,td_005,travel_dining,0.320806,10.898516,512,46.98,False,0.6667
awq_int4,L4,4,td_006,travel_dining,0.31995,10.898516,512,46.98,True,0.8889
awq_int4,L4,4,td_007,travel_dining,0.319647,10.898516,510,46.8,True,0.9
awq_int4,L4,4,td_008,travel_dining,0.319299,10.898516,512,46.98,True,0.9
awq_int4,L4,4,td_009,travel_dining,0.320499,10.839848,512,47.23,True,0.9
awq_int4,L4,4,td_010,travel_dining,0.31979,10.839848,512,47.23,True,0.9091
awq_int4,L4,4,td_011,travel_dining,0.319499,10.839848,494,45.57,False,0.7273
awq_int4,L4,4,td_012,travel_dining,0.31924,10.839848,407,37.55,True,0.8182
awq_int4,L4,4,td_013,travel_dining,0.328712,10.914659,512,46.91,False,0.7273
awq_int4,L4,4,td_014,travel_dining,0.327913,10.914659,512,46.91,True,0.8182
awq_int4,L4,4,td_015,travel_dining,0.32758,10.914659,512,46.91,True,0.9091
awq_int4,L4,4,td_016,travel_dining,0.327266,10.914659,509,46.63,True,0.8
awq_int4,L4,4,td_017,travel_dining,0.373551,9.890888,436,44.08,True,0.8
awq_int4,L4,4,td_018,travel_dining,0.373076,9.890888,434,43.88,True,0.8
awq_int4,L4,4,cc_001,credit_card,0.372802,9.890888,463,46.81,True,0.8889
awq_int4,L4,4,cc_002,credit_card,0.372441,9.890888,406,41.05,False,0.5556
awq_int4,L4,4,cc_003,credit_card,0.422504,9.225613,304,32.95,False,0.6667
awq_int4,L4,4,cc_004,credit_card,0.421963,9.225613,434,47.04,False,0.7
awq_int4,L4,4,cc_005,credit_card,0.421644,9.225613,333,36.1,False,0.3
awq_int4,L4,4,cc_006,credit_card,0.421324,9.225613,331,35.88,False,0.4
awq_int4,L4,4,cc_007,credit_card,0.393124,11.004869,512,46.52,True,1.0
awq_int4,L4,4,cc_008,credit_card,0.392357,11.004869,512,46.52,False,0.4
awq_int4,L4,4,cc_009,credit_card,0.392031,11.004869,512,46.52,True,0.8
awq_int4,L4,4,cc_010,credit_card,0.39172,11.004869,462,41.98,False,0.6667
awq_int4,L4,4,cc_011,credit_card,0.396872,9.625973,454,47.16,False,0.6667
awq_int4,L4,4,cc_012,credit_card,0.396332,9.625973,321,33.35,False,0.6667
awq_int4,L4,4,cc_013,credit_card,0.396026,9.625973,323,33.56,False,0.7778
awq_int4,L4,4,cc_014,credit_card,0.395709,9.625973,426,44.26,False,0.7778
awq_int4,L4,4,cc_015,credit_card,0.387621,10.878411,361,33.18,False,0.7778
awq_int4,L4,4,cc_016,credit_card,0.386464,10.878411,512,47.07,False,0.4444
awq_int4,L4,4,cc_017,credit_card,0.386077,10.878411,394,36.22,False,0.6667
awq_int4,L4,4,cc_018,credit_card,0.385762,10.878411,512,47.07,False,0.7778
awq_int4,L4,4,mo_001,merchant_offers,2.062521,9.978872,265,26.56,True,1.0
awq_int4,L4,4,mo_002,merchant_offers,2.05997,9.978872,343,34.37,True,1.0
awq_int4,L4,4,mo_003,merchant_offers,2.058841,9.978872,317,31.77,False,0.75
awq_int4,L4,4,mo_004,merchant_offers,2.057627,9.978872,314,31.47,True,1.0
awq_int4,L4,4,mo_005,merchant_offers,1.291049,9.043417,248,27.42,True,1.0
awq_int4,L4,4,mo_006,merchant_offers,1.289592,9.043417,244,26.98,True,1.0
awq_int4,L4,4,mt_001,multi_turn,1.288561,9.043417,136,15.04,False,0.7
awq_int4,L4,4,mt_002,multi_turn,1.288076,9.043417,367,40.58,True,0.8
awq_int4,L4,4,mt_003,multi_turn,0.507075,7.664767,176,22.96,False,0.6364
awq_int4,L4,4,mt_004,multi_turn,0.50591,7.664767,352,45.92,False,0.4545
awq_int4,L4,4,mt_005,multi_turn,0.505346,7.664767,282,36.79,True,0.8182
awq_int4,L4,4,sj_001,structured_json,0.504846,7.664767,254,33.14,True,1.0
awq_int4,L4,4,sj_002,structured_json,0.420288,10.777349,245,22.73,True,1.0
awq_int4,L4,4,sj_003,structured_json,0.419453,10.777349,247,22.92,True,1.0
awq_int4,L4,4,sj_004,structured_json,0.41915,10.777349,512,47.51,False,0.0
awq_int4,L4,4,sj_005,structured_json,0.418774,10.777349,512,47.51,False,0.0
awq_int4,L4,4,sj_006,structured_json,0.423595,11.085832,512,46.19,False,0.0
awq_int4,L4,4,sj_007,structured_json,0.423069,11.085832,512,46.19,False,0.0
awq_int4,L4,4,sj_008,structured_json,0.422735,11.085832,505,45.55,True,1.0
awq_int4,L4,4,sj_009,structured_json,0.422422,11.085832,512,46.19,False,0.0
awq_int4,L4,4,sj_010,structured_json,0.434723,10.989577,428,38.95,True,1.0
awq_int4,L4,4,sj_011,structured_json,0.433892,10.989577,461,41.95,True,1.0
awq_int4,L4,4,sj_012,structured_json,0.433554,10.989577,455,41.4,True,1.0
awq_int4,L4,4,sj_013,structured_json,0.433237,10.989577,512,46.59,False,0.0
awq_int4,L4,4,sj_014,structured_json,0.461795,10.692562,414,38.72,True,1.0
awq_int4,L4,4,sj_015,structured_json,0.460723,10.692562,345,32.27,True,1.0
awq_int4,L4,4,sj_016,structured_json,0.46035,10.692562,459,42.93,True,1.0
awq_int4,L4,4,sj_017,structured_json,0.45996,10.692562,497,46.48,True,1.0
awq_int4,L4,4,sj_018,structured_json,0.199389,9.450588,479,50.68,True,1.0
awq_int4,L4,8,td_001,travel_dining,0.550214,11.965284,399,33.35,True,0.875
awq_int4,L4,8,td_002,travel_dining,0.549345,11.965284,512,42.79,True,0.875
awq_int4,L4,8,td_003,travel_dining,0.549011,11.965284,374,31.26,True,0.875
awq_int4,L4,8,td_004,travel_dining,0.548696,11.965284,512,42.79,False,0.7778
awq_int4,L4,8,td_005,travel_dining,0.54835,11.965284,512,42.79,False,0.6667
awq_int4,L4,8,td_006,travel_dining,0.548047,11.965284,512,42.79,True,0.8889
awq_int4,L4,8,td_007,travel_dining,0.547755,11.965284,510,42.62,True,0.9
awq_int4,L4,8,td_008,travel_dining,0.547431,11.965284,512,42.79,True,0.9
awq_int4,L4,8,td_009,travel_dining,0.553469,12.027351,512,42.57,True,0.9
awq_int4,L4,8,td_010,travel_dining,0.552646,12.027351,512,42.57,True,0.9091
awq_int4,L4,8,td_011,travel_dining,0.552348,12.027351,494,41.07,False,0.7273
awq_int4,L4,8,td_012,travel_dining,0.55209,12.027351,433,36.0,True,0.8182
awq_int4,L4,8,td_013,travel_dining,0.551802,12.027351,512,42.57,False,0.7273
awq_int4,L4,8,td_014,travel_dining,0.551505,12.027351,512,42.57,True,0.8182
awq_int4,L4,8,td_015,travel_dining,0.551198,12.027351,512,42.57,True,0.9091
awq_int4,L4,8,td_016,travel_dining,0.550898,12.027351,509,42.32,True,0.8
awq_int4,L4,8,td_017,travel_dining,0.673903,10.869167,436,40.11,True,0.8
awq_int4,L4,8,td_018,travel_dining,0.673263,10.869167,434,39.93,True,0.8
awq_int4,L4,8,cc_001,credit_card,0.672979,10.869167,463,42.6,True,0.8889
awq_int4,L4,8,cc_002,credit_card,0.672631,10.869167,406,37.35,False,0.5556
awq_int4,L4,8,cc_003,credit_card,0.672319,10.869167,304,27.97,False,0.6667
awq_int4,L4,8,cc_004,credit_card,0.671999,10.869167,434,39.93,False,0.7
awq_int4,L4,8,cc_005,credit_card,0.671708,10.869167,333,30.64,False,0.3
awq_int4,L4,8,cc_006,credit_card,0.67139,10.869167,326,29.99,False,0.5
awq_int4,L4,8,cc_007,credit_card,0.647877,11.957286,512,42.82,True,0.8
awq_int4,L4,8,cc_008,credit_card,0.646724,11.957286,494,41.31,False,0.4
awq_int4,L4,8,cc_009,credit_card,0.646379,11.957286,512,42.82,True,0.8
awq_int4,L4,8,cc_010,credit_card,0.646033,11.957286,462,38.64,False,0.6667
awq_int4,L4,8,cc_011,credit_card,0.645667,11.957286,454,37.97,False,0.6667
awq_int4,L4,8,cc_012,credit_card,0.645376,11.957286,321,26.85,False,0.6667
awq_int4,L4,8,cc_013,credit_card,0.645082,11.957286,323,27.01,False,0.7778
awq_int4,L4,8,cc_014,credit_card,0.644728,11.957286,311,26.01,False,0.7778
awq_int4,L4,8,cc_015,credit_card,2.355043,14.280179,361,25.28,False,0.7778
awq_int4,L4,8,cc_016,credit_card,2.354067,14.280179,512,35.85,False,0.4444
awq_int4,L4,8,cc_017,credit_card,2.353671,14.280179,394,27.59,False,0.6667
awq_int4,L4,8,cc_018,credit_card,2.353368,14.280179,512,35.85,False,0.7778
awq_int4,L4,8,mo_001,merchant_offers,2.353066,14.280179,249,17.44,True,1.0
awq_int4,L4,8,mo_002,merchant_offers,2.351392,14.280179,343,24.02,True,1.0
awq_int4,L4,8,mo_003,merchant_offers,2.350174,14.280179,311,21.78,False,0.75
awq_int4,L4,8,mo_004,merchant_offers,2.349008,14.280179,314,21.99,True,1.0
awq_int4,L4,8,mo_005,merchant_offers,1.719969,11.061222,248,22.42,True,1.0
awq_int4,L4,8,mo_006,merchant_offers,1.718243,11.061222,246,22.24,True,1.0
awq_int4,L4,8,mt_001,multi_turn,1.717145,11.061222,114,10.31,False,0.7
awq_int4,L4,8,mt_002,multi_turn,1.716621,11.061222,421,38.06,True,0.8
awq_int4,L4,8,mt_003,multi_turn,1.716133,11.061222,176,15.91,False,0.6364
awq_int4,L4,8,mt_004,multi_turn,1.715635,11.061222,352,31.82,False,0.4545
awq_int4,L4,8,mt_005,multi_turn,1.715149,11.061222,282,25.49,True,0.8182
awq_int4,L4,8,sj_001,structured_json,1.714681,11.061222,254,22.96,True,1.0
awq_int4,L4,8,sj_002,structured_json,0.713258,12.19379,245,20.09,True,1.0
awq_int4,L4,8,sj_003,structured_json,0.712493,12.19379,247,20.26,True,1.0
awq_int4,L4,8,sj_004,structured_json,0.712194,12.19379,512,41.99,False,0.0
awq_int4,L4,8,sj_005,structured_json,0.711873,12.19379,512,41.99,False,0.0
awq_int4,L4,8,sj_006,structured_json,0.71154,12.19379,512,41.99,False,0.0
awq_int4,L4,8,sj_007,structured_json,0.711232,12.19379,512,41.99,False,0.0
awq_int4,L4,8,sj_008,structured_json,0.710941,12.19379,505,41.41,True,1.0
awq_int4,L4,8,sj_009,structured_json,0.710635,12.19379,512,41.99,False,0.0
awq_int4,L4,8,sj_010,structured_json,0.746242,12.183248,428,35.13,True,1.0
awq_int4,L4,8,sj_011,structured_json,0.745725,12.183248,461,37.84,True,1.0
awq_int4,L4,8,sj_012,structured_json,0.745392,12.183248,455,37.35,True,1.0
awq_int4,L4,8,sj_013,structured_json,0.745089,12.183248,512,42.02,False,0.0
awq_int4,L4,8,sj_014,structured_json,0.744739,12.183248,414,33.98,True,1.0
awq_int4,L4,8,sj_015,structured_json,0.744395,12.183248,345,28.32,True,1.0
awq_int4,L4,8,sj_016,structured_json,0.744073,12.183248,459,37.67,True,1.0
awq_int4,L4,8,sj_017,structured_json,0.743767,12.183248,497,40.79,True,1.0
awq_int4,L4,8,sj_018,structured_json,0.203695,9.454228,479,50.67,True,1.0
awq_int4,L4,16,td_001,travel_dining,1.015049,14.5103,396,27.29,True,0.875
awq_int4,L4,16,td_002,travel_dining,1.014203,14.5103,512,35.29,True,0.875
awq_int4,L4,16,td_003,travel_dining,1.013865,14.5103,374,25.77,True,0.875
awq_int4,L4,16,td_004,travel_dining,1.013587,14.5103,512,35.29,False,0.7778
awq_int4,L4,16,td_005,travel_dining,1.013253,14.5103,512,35.29,False,0.6667
awq_int4,L4,16,td_006,travel_dining,1.012981,14.5103,512,35.29,True,0.8889
awq_int4,L4,16,td_007,travel_dining,1.012707,14.5103,510,35.15,True,0.9
awq_int4,L4,16,td_008,travel_dining,1.012429,14.5103,512,35.29,True,0.9
awq_int4,L4,16,td_009,travel_dining,1.01217,14.5103,512,35.29,True,0.9
awq_int4,L4,16,td_010,travel_dining,1.011913,14.5103,512,35.29,False,0.6364
awq_int4,L4,16,td_011,travel_dining,1.011616,14.5103,494,34.04,False,0.7273
awq_int4,L4,16,td_012,travel_dining,1.011345,14.5103,433,29.84,True,0.8182
awq_int4,L4,16,td_013,travel_dining,1.011082,14.5103,512,35.29,False,0.7273
awq_int4,L4,16,td_014,travel_dining,1.010776,14.5103,512,35.29,True,0.8182
awq_int4,L4,16,td_015,travel_dining,1.010472,14.5103,512,35.29,True,0.9091
awq_int4,L4,16,td_016,travel_dining,1.010188,14.5103,508,35.01,True,0.8
awq_int4,L4,16,td_017,travel_dining,1.209425,14.496438,436,30.08,True,0.8
awq_int4,L4,16,td_018,travel_dining,1.208773,14.496438,434,29.94,True,0.8
awq_int4,L4,16,cc_001,credit_card,1.208503,14.496438,351,24.21,False,0.6667
awq_int4,L4,16,cc_002,credit_card,1.208155,14.496438,468,32.28,False,0.7778
awq_int4,L4,16,cc_003,credit_card,1.20784,14.496438,304,20.97,False,0.6667
awq_int4,L4,16,cc_004,credit_card,1.207527,14.496438,434,29.94,False,0.7
awq_int4,L4,16,cc_005,credit_card,1.207216,14.496438,333,22.97,False,0.3
awq_int4,L4,16,cc_006,credit_card,1.206919,14.496438,326,22.49,False,0.5
awq_int4,L4,16,cc_007,credit_card,1.206625,14.496438,512,35.32,True,1.0
awq_int4,L4,16,cc_008,credit_card,1.206322,14.496438,493,34.01,False,0.4
awq_int4,L4,16,cc_009,credit_card,1.20601,14.496438,512,35.32,True,0.8
awq_int4,L4,16,cc_010,credit_card,1.205714,14.496438,462,31.87,False,0.6667
awq_int4,L4,16,cc_011,credit_card,1.20545,14.496438,454,31.32,False,0.6667
awq_int4,L4,16,cc_012,credit_card,1.205133,14.496438,321,22.14,False,0.6667
awq_int4,L4,16,cc_013,credit_card,1.204837,14.496438,323,22.28,False,0.7778
awq_int4,L4,16,cc_014,credit_card,1.204547,14.496438,426,29.39,False,0.7778
awq_int4,L4,16,cc_015,credit_card,2.367694,17.703236,372,21.01,False,0.7778
awq_int4,L4,16,cc_016,credit_card,2.367132,17.703236,512,28.92,False,0.4444
awq_int4,L4,16,cc_017,credit_card,2.366811,17.703236,394,22.26,False,0.6667
awq_int4,L4,16,cc_018,credit_card,2.366492,17.703236,512,28.92,False,0.7778
awq_int4,L4,16,mo_001,merchant_offers,2.3662,17.703236,249,14.07,True,1.0
awq_int4,L4,16,mo_002,merchant_offers,2.364809,17.703236,343,19.37,True,1.0
awq_int4,L4,16,mo_003,merchant_offers,2.363717,17.703236,311,17.57,False,0.75
awq_int4,L4,16,mo_004,merchant_offers,2.362576,17.703236,314,17.74,True,1.0
awq_int4,L4,16,mo_005,merchant_offers,4.068354,17.703236,248,14.01,True,1.0
awq_int4,L4,16,mo_006,merchant_offers,4.067221,17.703236,246,13.9,True,1.0
awq_int4,L4,16,mt_001,multi_turn,4.06603,17.703236,110,6.21,False,0.7
awq_int4,L4,16,mt_002,multi_turn,4.065558,17.703236,421,23.78,True,0.8
awq_int4,L4,16,mt_003,multi_turn,4.065096,17.703236,176,9.94,False,0.6364
awq_int4,L4,16,mt_004,multi_turn,4.064613,17.703236,352,19.88,False,0.4545
awq_int4,L4,16,mt_005,multi_turn,4.064156,17.703236,282,15.93,True,0.8182
awq_int4,L4,16,sj_001,structured_json,4.063694,17.703236,254,14.35,True,1.0
awq_int4,L4,16,sj_002,structured_json,1.373295,14.861276,245,16.49,True,1.0
awq_int4,L4,16,sj_003,structured_json,1.372235,14.861276,247,16.62,True,1.0
awq_int4,L4,16,sj_004,structured_json,1.371943,14.861276,512,34.45,False,0.0
