method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
fp8_w8a8,L4,1,td_001,travel_dining,0.069684,14.696446,417,28.37,True,0.875
fp8_w8a8,L4,1,td_002,travel_dining,0.064127,13.337428,378,28.34,True,0.875
fp8_w8a8,L4,1,td_003,travel_dining,0.064137,12.569711,356,28.32,True,0.875
fp8_w8a8,L4,1,td_004,travel_dining,0.057854,18.078031,512,28.32,True,0.8889
fp8_w8a8,L4,1,td_005,travel_dining,0.066981,15.909016,450,28.29,True,0.8889
fp8_w8a8,L4,1,td_006,travel_dining,0.068858,18.106926,512,28.28,True,1.0
fp8_w8a8,L4,1,td_007,travel_dining,0.056751,14.832264,420,28.32,True,0.8
fp8_w8a8,L4,1,td_008,travel_dining,0.063671,15.205943,430,28.28,True,0.8
fp8_w8a8,L4,1,td_009,travel_dining,0.064633,15.346936,434,28.28,True,0.8
fp8_w8a8,L4,1,td_010,travel_dining,0.05688,18.091846,512,28.3,True,0.8182
fp8_w8a8,L4,1,td_011,travel_dining,0.065609,18.132555,512,28.24,True,0.9091
fp8_w8a8,L4,1,td_012,travel_dining,0.073049,15.901081,449,28.24,True,0.8182
fp8_w8a8,L4,1,td_013,travel_dining,0.065073,18.115757,512,28.26,True,0.9091
fp8_w8a8,L4,1,td_014,travel_dining,0.069912,16.57613,468,28.23,True,0.9091
fp8_w8a8,L4,1,td_015,travel_dining,0.07035,18.130259,512,28.24,True,0.9091
fp8_w8a8,L4,1,td_016,travel_dining,0.058681,16.020081,453,28.28,True,0.9
fp8_w8a8,L4,1,td_017,travel_dining,0.065661,16.454876,465,28.26,True,0.8
fp8_w8a8,L4,1,td_018,travel_dining,0.065764,16.752862,473,28.23,False,0.7
fp8_w8a8,L4,1,cc_001,credit_card,0.072663,15.294071,431,28.18,True,0.8889
fp8_w8a8,L4,1,cc_002,credit_card,0.086375,15.763817,444,28.17,False,0.6667
fp8_w8a8,L4,1,cc_003,credit_card,0.086544,17.026809,480,28.19,False,0.6667
fp8_w8a8,L4,1,cc_004,credit_card,0.070712,14.489826,409,28.23,False,0.4
fp8_w8a8,L4,1,cc_005,credit_card,0.084293,14.43901,407,28.19,False,0.5
fp8_w8a8,L4,1,cc_006,credit_card,0.08269,17.340895,489,28.2,False,0.7
fp8_w8a8,L4,1,cc_007,credit_card,0.07038,18.12916,512,28.24,True,0.8
fp8_w8a8,L4,1,cc_008,credit_card,0.083758,18.15393,512,28.2,False,0.4
fp8_w8a8,L4,1,cc_009,credit_card,0.082366,17.90211,505,28.21,False,0.2
