method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
gptq_int4,A100_SXM,1,td_001,travel_dining,0.033991,1.878812,369,196.4,True,0.875
gptq_int4,A100_SXM,1,td_002,travel_dining,0.034565,1.590969,311,195.48,False,0.75
gptq_int4,A100_SXM,1,td_003,travel_dining,0.034393,1.763344,345,195.65,True,1.0
gptq_int4,A100_SXM,1,td_004,travel_dining,0.033035,2.60198,512,196.77,True,0.8889
gptq_int4,A100_SXM,1,td_005,travel_dining,0.035219,2.605322,512,196.52,True,0.8889
gptq_int4,A100_SXM,1,td_006,travel_dining,0.035739,2.606534,512,196.43,True,1.0
gptq_int4,A100_SXM,1,td_007,travel_dining,0.033157,2.537787,500,197.02,True,0.8
gptq_int4,A100_SXM,1,td_008,travel_dining,0.034369,1.976663,388,196.29,True,0.8
gptq_int4,A100_SXM,1,td_009,travel_dining,0.034514,2.190022,430,196.35,True,0.9
gptq_int4,A100_SXM,1,td_010,travel_dining,0.033027,2.602351,512,196.75,True,0.9091
gptq_int4,A100_SXM,1,td_011,travel_dining,0.034631,2.498447,491,196.52,True,0.8182
gptq_int4,A100_SXM,1,td_012,travel_dining,0.035112,2.324072,456,196.21,True,0.9091
gptq_int4,A100_SXM,1,td_013,travel_dining,0.034553,2.602767,512,196.71,False,0.4545
gptq_int4,A100_SXM,1,td_014,travel_dining,0.035939,2.607173,512,196.38,False,0.6364
gptq_int4,A100_SXM,1,td_015,travel_dining,0.035922,2.607801,512,196.33,False,0.7273
gptq_int4,A100_SXM,1,td_016,travel_dining,0.033558,1.740907,341,195.87,True,0.8
gptq_int4,A100_SXM,1,td_017,travel_dining,0.035024,2.424026,430,177.39,True,1.0
gptq_int4,A100_SXM,1,td_018,travel_dining,0.035192,2.156738,423,196.13,False,0.7
gptq_int4,A100_SXM,1,cc_001,credit_card,0.035925,1.97192,385,195.24,True,0.8889
gptq_int4,A100_SXM,1,cc_002,credit_card,0.041439,1.659876,322,193.99,True,0.8889
gptq_int4,A100_SXM,1,cc_003,credit_card,0.041238,2.034469,396,194.65,True,0.8889
gptq_int4,A100_SXM,1,cc_004,credit_card,0.036125,1.963444,383,195.07,False,0.5
gptq_int4,A100_SXM,1,cc_005,credit_card,0.04134,2.156092,420,194.8,False,0.5
gptq_int4,A100_SXM,1,cc_006,credit_card,0.041297,1.74302,338,193.92,False,0.5
gptq_int4,A100_SXM,1,cc_007,credit_card,0.036484,2.397509,470,196.04,False,0.4
gptq_int4,A100_SXM,1,cc_008,credit_card,0.041164,2.616221,512,195.7,False,0.2
gptq_int4,A100_SXM,1,cc_009,credit_card,0.041214,2.575881,504,195.66,False,0.2
gptq_int4,A100_SXM,1,cc_010,credit_card,0.035408,1.812668,354,195.29,False,0.6667
gptq_int4,A100_SXM,1,cc_011,credit_card,0.03663,2.035132,398,195.56,False,0.6667
gptq_int4,A100_SXM,1,cc_012,credit_card,0.036149,1.636824,319,194.89,False,0.7778
gptq_int4,A100_SXM,1,cc_013,credit_card,0.035684,1.493152,291,194.89,False,0.7778
gptq_int4,A100_SXM,1,cc_014,credit_card,0.041559,2.125935,415,195.21,False,0.6667
gptq_int4,A100_SXM,1,cc_015,credit_card,0.040184,1.893585,369,194.87,False,0.7778
gptq_int4,A100_SXM,1,cc_016,credit_card,0.03558,2.5605,503,196.45,True,1.0
gptq_int4,A100_SXM,1,cc_017,credit_card,0.040876,2.614842,512,195.81,False,0.6667
gptq_int4,A100_SXM,1,cc_018,credit_card,0.041137,2.616832,512,195.66,True,0.8889
gptq_int4,A100_SXM,1,mo_001,merchant_offers,0.134674,2.02509,369,182.21,True,1.0
gptq_int4,A100_SXM,1,mo_002,merchant_offers,0.120583,1.698087,308,181.38,True,1.0
gptq_int4,A100_SXM,1,mo_003,merchant_offers,0.134407,1.717392,309,179.92,False,0.5
gptq_int4,A100_SXM,1,mo_004,merchant_offers,0.121018,1.728895,314,181.62,True,1.0
