method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
gptq_int4_marlin,L4,1,td_001,travel_dining,0.0489,6.387655,369,57.77,True,0.875
gptq_int4_marlin,L4,1,td_002,travel_dining,0.06084,5.408616,311,57.5,False,0.75
gptq_int4_marlin,L4,1,td_003,travel_dining,0.059835,5.910763,340,57.52,True,1.0
gptq_int4_marlin,L4,1,td_004,travel_dining,0.050563,8.882536,512,57.64,False,0.7778
gptq_int4_marlin,L4,1,td_005,travel_dining,0.061886,8.904486,512,57.5,True,0.8889
gptq_int4_marlin,L4,1,td_006,travel_dining,0.065415,7.121546,409,57.43,True,1.0
gptq_int4_marlin,L4,1,td_007,travel_dining,0.049442,8.46216,488,57.67,True,0.8
gptq_int4_marlin,L4,1,td_008,travel_dining,0.060575,7.530749,433,57.5,True,0.8
gptq_int4_marlin,L4,1,td_009,travel_dining,0.060752,7.337065,422,57.52,True,0.9
gptq_int4_marlin,L4,1,td_010,travel_dining,0.045433,7.946831,458,57.63,False,0.6364
gptq_int4_marlin,L4,1,td_011,travel_dining,0.061064,8.540937,491,57.49,True,0.8182
gptq_int4_marlin,L4,1,td_012,travel_dining,0.061836,8.91567,512,57.43,True,0.9091
gptq_int4_marlin,L4,1,td_013,travel_dining,0.061972,8.911983,512,57.45,False,0.4545
gptq_int4_marlin,L4,1,td_014,travel_dining,0.067275,8.923412,512,57.38,False,0.6364
gptq_int4_marlin,L4,1,td_015,travel_dining,0.0666,8.924711,512,57.37,False,0.7273
gptq_int4_marlin,L4,1,td_016,travel_dining,0.049083,5.928238,341,57.52,True,0.8
gptq_int4_marlin,L4,1,td_017,travel_dining,0.061584,7.489883,430,57.41,True,1.0
gptq_int4_marlin,L4,1,td_018,travel_dining,0.06177,7.509234,431,57.4,False,0.7
gptq_int4_marlin,L4,1,cc_001,credit_card,0.068722,6.913415,396,57.28,True,0.8889
gptq_int4_marlin,L4,1,cc_002,credit_card,0.078038,5.645616,322,57.04,True,0.8889
gptq_int4_marlin,L4,1,cc_003,credit_card,0.079345,7.091537,405,57.11,True,0.8889
gptq_int4_marlin,L4,1,cc_004,credit_card,0.067574,6.686572,383,57.28,False,0.5
gptq_int4_marlin,L4,1,cc_005,credit_card,0.079335,7.350614,420,57.14,False,0.5
gptq_int4_marlin,L4,1,cc_006,credit_card,0.076229,5.259,300,57.05,False,0.4
gptq_int4_marlin,L4,1,cc_007,credit_card,0.06778,8.201566,470,57.31,False,0.4
gptq_int4_marlin,L4,1,cc_008,credit_card,0.077173,8.955371,512,57.17,False,0.2
gptq_int4_marlin,L4,1,cc_009,credit_card,0.077786,8.814333,504,57.18,False,0.2
gptq_int4_marlin,L4,1,cc_010,credit_card,0.065553,6.1764,354,57.31,False,0.6667
gptq_int4_marlin,L4,1,cc_011,credit_card,0.070703,6.467438,370,57.21,False,0.6667
