method,gpu,concurrency,prompt_id,category,ttft_sec,total_time_sec,output_tokens,tps,quality_passed,quality_pass_rate
gptq_int4_marlin,A100_SXM,1,td_001,travel_dining,0.022467,2.042961,369,180.62,True,0.875
gptq_int4_marlin,A100_SXM,1,td_002,travel_dining,0.023575,1.727213,311,180.06,False,0.75
gptq_int4_marlin,A100_SXM,1,td_003,travel_dining,0.023013,1.88636,340,180.24,True,1.0
gptq_int4_marlin,A100_SXM,1,td_004,travel_dining,0.022616,2.833351,512,180.7,False,0.7778
gptq_int4_marlin,A100_SXM,1,td_005,travel_dining,0.024742,2.854761,512,179.35,True,0.8889
gptq_int4_marlin,A100_SXM,1,td_006,travel_dining,0.025449,2.555162,459,179.64,True,0.8889
gptq_int4_marlin,A100_SXM,1,td_007,travel_dining,0.021953,2.70416,488,180.46,True,0.8
gptq_int4_marlin,A100_SXM,1,td_008,travel_dining,0.023521,2.399514,433,180.45,True,0.8
gptq_int4_marlin,A100_SXM,1,td_009,travel_dining,0.023395,2.235002,403,180.31,True,0.8
gptq_int4_marlin,A100_SXM,1,td_010,travel_dining,0.022069,2.674865,483,180.57,False,0.7273
gptq_int4_marlin,A100_SXM,1,td_011,travel_dining,0.023603,2.986799,512,171.42,True,0.8182
gptq_int4_marlin,A100_SXM,1,td_012,travel_dining,0.025316,2.858097,512,179.14,True,0.9091
gptq_int4_marlin,A100_SXM,1,td_013,travel_dining,0.02507,2.883821,512,177.54,False,0.4545
gptq_int4_marlin,A100_SXM,1,td_014,travel_dining,0.031641,2.865956,512,178.65,False,0.6364
gptq_int4_marlin,A100_SXM,1,td_015,travel_dining,0.026982,2.848551,512,179.74,False,0.7273
gptq_int4_marlin,A100_SXM,1,td_016,travel_dining,0.022433,1.889295,341,180.49,True,0.8
gptq_int4_marlin,A100_SXM,1,td_017,travel_dining,0.024205,2.387615,430,180.1,True,1.0
gptq_int4_marlin,A100_SXM,1,td_018,travel_dining,0.02398,2.188363,394,180.04,False,0.7
gptq_int4_marlin,A100_SXM,1,cc_001,credit_card,0.026584,2.285616,370,161.88,True,0.8889
gptq_int4_marlin,A100_SXM,1,cc_002,credit_card,0.029576,1.972817,353,178.93,True,0.8889
gptq_int4_marlin,A100_SXM,1,cc_003,credit_card,0.029188,2.267001,405,178.65,True,0.8889
gptq_int4_marlin,A100_SXM,1,cc_004,credit_card,0.026439,2.13474,383,179.41,False,0.5
gptq_int4_marlin,A100_SXM,1,cc_005,credit_card,0.029296,2.343658,420,179.21,False,0.5
gptq_int4_marlin,A100_SXM,1,cc_006,credit_card,0.02854,1.684991,300,178.04,False,0.4
